Titre;Réalisateur;Date de sortie;Synopsis;Note Presse;Note Spectateurs;Score Recommandation;Amazon Prime Video;Canal VOD;Canal+;Disney+;Netflix;OCS;Paramount+;URL
Et la tendresse?... Bordel!;Patrick Schulmann;28 février 1979;François, séducteur très misogyne, dirige un Eros Club, ce dont souffre silencieusement sa femme Carole. Julie, vendeuse dans une horlogerie, est quant à elle prise d'un accès de folie après avoir surpris son mari, Léo, futur notaire, dans une situation embarassante. Seuls Luc, qui réalise des sondages après avoir été chômeur, et Eva, jeune infirmière en psychiâtrie, font véritablement preuve de tendresse et ont ainsi une relation équilibrée.;2.7;--;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=11304.html
Marche à l'ombre;Michel Blanc;17 octobre 1984;Francois, routard fatigué, débarque dans le port de Marseille. Musicien hors-pair, il est bien décidé à exploiter son talent dans les studios parisiens. Denis, inseparable compagnon et négatif de Fançois, est un grand spécialiste de l'angoisse et ne cesse de gémir. Vu ce qui les attend a Paris, il n'est pas prêt de s'arrêter...;3.3;--;57;;X;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=232.html
The Gray Man 2;Anthony Russo;Non disponible;Suite de The Gray Man (2022).;Non disponible;Non disponible;Non disponible;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=306660.html
Beetlejuice Beetlejuice;Tim Burton;11 septembre 2024;Après une terrible tragédie, la famille Deetz revient à Winter River. Toujours hantée par le souvenir de Beetlejuice, Lydia voit sa vie bouleversée lorsque sa fille Astrid, adolescente rebelle, ouvre accidentellement un portail vers l’Au-delà. Alors que le chaos plane sur les deux mondes, ce n’est qu’une question de temps avant que quelqu’un ne prononce le nom de Beetlejuice trois fois et que ce démon farceur ne revienne semer la pagaille…;3.4;3.5;46;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=197214.html
Swimming Pool;François Ozon;21 mai 2003;Sarah Morton, auteur anglais de polars à succès, se rend en France dans le Luberon, dans la maison de son éditeur, pour se reposer et travailler. Mais une nuit, Julie, la fille française de ce dernier, débarque dans la demeure et vient perturber la quiétude de la romancière...;3.4;2.6;44;;X;;;;;X;https://www.allocine.fr/film/fichefilm_gen_cfilm=46022.html
Mademoiselle;Park Chan-Wook;1 novembre 2016;Corée. Années 30, pendant la colonisation japonaise. Une jeune femme (Sookee) est engagée comme servante d’une riche japonaise (Hideko), vivant recluse dans un immense manoir sous la coupe d’un oncle tyrannique. Mais Sookee a un secret. Avec l’aide d’un escroc se faisant passer pour un comte japonais, ils ont d’autres plans pour Hideko…;3.8;4.2;57;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=231299.html
Decision To Leave;Park Chan-Wook;29 juin 2022;Le film a obtenu le Prix de la mise en scène au Festival de Cannes 2022.Hae-Joon, détective chevronné, enquête sur la mort suspecte d’un homme survenue au sommet d’une montagne. Bientôt, il commence à soupçonner Sore, la femme du défunt, tout en étant déstabilisé par son attirance pour elle.;4.0;3.8;49;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=287116.html
Challengers;Luca Guadagnino;24 avril 2024;Durant leurs études, Patrick et Art, tombent amoureux de Tashi. À la fois amis, amants et rivaux, ils voient tous les trois leurs chemins se recroiser des années plus tard. Leur passé et leur présent s’entrechoquent et des tensions jusque-là inavouées refont surface.;3.3;3.4;19;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=300855.html
Dans ses yeux;Juan José Campanella;5 mai 2010;"1974, Buenos Aires. Benjamin Esposito enquête sur le meurtre violent d'une jeune femme. 25 ans plus tard, il décide d'écrire un roman basé sur cette affaire ""classée"" dont il a été témoin et protagoniste. Ce travail d'écriture le ramène à ce meurtre qui l'obsède depuis tant d'années mais également à l'amour qu'il portait alors à sa collègue de travail. Benjamin replonge ainsi dans cette période sombre de l'Argentine où l'ambiance était étouffante et les apparences trompeuses...";3.6;4.2;71;X;X;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=171223.html
Le Dernier Nabab;Elia Kazan;13 avril 1977;Monroe Stahr est directeur de production d’un important studio d’Hollywood. Depuis la mort de sa femme, il s’est lancé à corps perdu dans le travail, et un jour, sur un plateau, il rencontre son sosie en la personne de Kathleen. Il lui arrache un rendez-vous et passe la nuit avec elle mais au matin elle a disparu.;3.6;--;43;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=2598.html
L'Impasse;Brian De Palma;23 mars 1994;New-York, 1975. Libéré après 5 années de prison grâce à son avocat véreux, Carlito Brigante, ancienne figure du milieu, rentre chez lui dans le quartier espagnol de Harlem. Il souhaite se réinsérer dans la vie et monter aux Bahamas une affaire honnête avec la femme de sa vie. Mais son passé le rattrape, et ce qui a fait de lui un caïd autrefois risque bien de lui coûter la vie aujourd'hui...;4.8;4.3;62;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=9530.html
Préparez vos Mouchoirs;Bertrand Blier;11 janvier 1978;A bout d'idées, Raoul demande à Stéphane de l'aider à rendre le sourire à Solange, sa femme. Ensemble, ils partent s'occuper d'une colonie de vacances où Solange finit par tomber amoureuse de Christian, un jeune surdoué de 13 ans qui s'ennuie autant qu'elle...;3.6;--;60;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=4914.html
Henry & June;Philip Kaufman;10 octobre 1990;Paris, 1931. Anaïs Nin vit une relation stable avec son mari Hugo. Seul son journal intime connaît ses pensées les plus secrètes, ses désirs les plus inavouables. Elle rencontre alors Henry Miller, écrivain encore inconnu, et sa femme June. Ce couple représente le style de vie libérée dont elle rêve depuis toujours. Elle va alors entraîner le couple dans une relation tourmentée, en ayant une aventure avec Henry Miller, mais également en séduisant June…;3.0;--;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=6053.html
Neuilly sa mère, sa mère;Gabriel Julien-Laferrière;8 août 2018;En 2008, Sami Benboudaoud découvrait l’enfer de Neuilly-sur-seine !Dix ans plus tard, alors que tout va pour le mieux pour Sami qui termine brillamment ses études de sciences politiques, plus rien ne va pour son cousin Charles de Chazelle. Depuis la défaite de son idole Sarkozy aux présidentielles, il a sombré dans une profonde dépression quand sa famille perd toute sa fortune et doit quitter Neuilly. Rejetés de tous, les Chazelle trouvent refuge chez Sami, cité Picasso, à Nanterre !Dès lors, pour Sami et les habitants de sa cité, la vie ne sera plus jamais un long fleuve tranquille.;2.2;2.3;20;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=259640.html
Sur les chemins noirs;Denis Imbert;22 mars 2023;Librement inspiré de Sur les chemins noirs de Sylvain Tesson (2016).Un soir d’ivresse, Pierre, écrivain explorateur, fait une chute de plusieurs étages. Cet accident le plonge dans un coma profond. Sur son lit d’hôpital, revenu à la vie, il se fait la promesse de traverser la France à pied du Mercantour au Cotentin. Un voyage unique et hors du temps à la rencontre de l'hyper-ruralité, de la beauté de la France et de la renaissance de soi.;3.0;3.5;46;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=295626.html
Ghost;Jerry Zucker;7 novembre 1990;Sam Wheat, cadre dans une banque d'affaires new-yorkaise, et Molly Jensen, sculpteur, s'aiment. Mais tout bascule lorsque Sam Wheat est agressé dans la rue et abattu. A sa grande surprise, il devient un fantôme et réussit à communiquer avec une voyante hystérique. Il tente alors d'entrer en contact avec sa femme et découvre qui a voulu le tuer.;2.2;3.9;61;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=6122.html
Pupille;Jeanne Herry;5 décembre 2018;Théo est remis à l'adoption par sa mère biologique le jour de sa naissance. C'est un accouchement sous X. La mère à deux mois pour revenir sur sa décision...ou pas. Les services de l'aide sociale à l'enfance et le service adoption se mettent en mouvement. Les uns doivent s'occuper du bébé, le porter (au sens plein du terme) dans ce temps suspendu, cette phase d'incertitude. Les autres doivent trouver celle qui deviendra sa mère adoptante. Elle s'appelle Alice et cela fait dix ans qu'elle se bat pour avoir un enfant. PUPILLE est l'histoire de la rencontre entre Alice, 41 ans, et Théo, trois mois.;4.3;4.2;67;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=257881.html
Ticket To Paradise;Ol Parker;5 octobre 2022;Un couple séparé est réuni pour tenter d’empêcher leur fille de commettre la même erreur qu’eux jadis : céder au coup de foudre.;2.6;2.7;35;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=290725.html
Je verrai toujours vos visages;Jeanne Herry;29 mars 2023;Depuis 2014, en France, la Justice Restaurative propose à des personnes victimes et auteurs d’infraction de dialoguer dans des dispositifs sécurisés, encadrés par des professionnels et des bénévoles comme Judith, Fanny ou Michel.Nassim, Issa, et Thomas, condamnés pour vols avec violence, Grégoire, Nawelle et Sabine, victimes de homejacking, de braquages et de vol à l'arraché, mais aussi Chloé, victime de viols incestueux, s’engagent tous dans des mesures de Justice Restaurative.Sur leur parcours, il y a de la colère et de l’espoir, des silences et des mots, des alliances et des déchirements, des prises de conscience et de la conﬁance retrouvée… Et au bout du chemin, parfois, la réparation...;4.1;4.4;72;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=299938.html
Les Bons vivants;Gilles Grangier;1 mars 2019;"Trois sketches (""Les Bons vivants"", ""La Fermeture"", ""Le Procès"") sur le thème de la fermeture des maisons closes.";3.6;--;62;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=11450.html
Les Nouveaux sauvages;Damián Szifron;14 janvier 2015;L'inégalité, l'injustice et l'exigence auxquelles nous expose le monde où l'on vit provoquent du stress et des dépressions chez beaucoup de gens. Certains craquent. Les Nouveaux sauvages est un film sur eux. Vulnérables face à une réalité qui soudain change et devient imprévisible, les héros des Nouveaux sauvages franchissent l'étroite frontière qui sépare la civilisation de la barbarie. Une trahison amour, le retour d'un passé refoulé, la violence enfermée dans un détail quotidien, sont autant de prétextes qui les entraînent dans un vertige où ils perdent les pédales et éprouve l'indéniable plaisir du pétage de plombs.;3.5;4.1;67;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=221270.html
Le Tourbillon de la vie;Olivier Treiner;21 décembre 2022;"Les grands tournants de notre existence sont parfois dus à de petits hasards. Si Julia n’avait pas fait tomber son livre ce jour-là, aurait-elle croisé Paul ? Ou sa vie aurait-elle pris une toute autre direction ?Nos vies sont faites d’infinies possibilités. Pour Julia, il suffit d’un petit rien tellement de fois ; tous ces chemins qu’elle aurait pu suivre, toutes ces femmes qu’elle aurait pu être…Choisit-on son destin ? A quoi tiennent l’amour ou le bonheur ?";3.3;3.8;50;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=288544.html
Burning Days;Emin Alper;26 avril 2023;Emre, un jeune procureur déterminé et inflexible, vient d’être nommé dans une petite ville reculée de Turquie. À peine arrivé, il se heurte aux notables locaux bien décidés à défendre leurs privilèges par tous les moyens, même les plus extrêmes.;3.7;3.8;47;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=288667.html
Misanthrope;Damián Szifron;26 avril 2023;Eleanor, une jeune enquêtrice au lourd passé, est appelée sur les lieux d’un crime de masse terrible. La police et le FBI lancent une chasse à l’homme sans précédent, mais face au mode opératoire constamment imprévisible de l’assassin, l’enquête piétine. Eleanor, quant à elle se trouve de plus en plus impliquée dans l'affaire et se rend compte que ses propres démons intérieurs peuvent l’aider à cerner l'esprit de ce tueur si singulier…;3.7;3.8;53;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=273946.html
Raphaël ou le débauché;Michel Deville;5 avril 1971;1830, c'est par une belle journée d'été qu'Aurore rend visite à ses cousines. Au cours d'une balade près du lac, les jeunes filles sont abordées par des cavaliers. Parmi eux se trouve Raphaël de Lorris, un homme totalement en contradiction avec les convictions d'Aurore. Lui aime la décadence et le libertinage, elle, est une femme pieuse, romantique et réservée. Tout les oppose, pourtant, ils tombent éperdument amoureux l'un de l'autre. Une passion qui finira par les détruire à petit feu.;3.6;--;?;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=37267.html
Blonde;Andrew Dominik;28 septembre 2022;Adapté du best-seller de Joyce Carol Oates, BLONDE est une relecture audacieuse de la trajectoire de Marilyn Monroe, l’une des icônes hollywoodiennes les plus atemporelles. De son enfance tumultueuse à son ascension fulgurante et à ses histoires d’amour complexes – de Norma Jeane à Marilyn –, BLONDE brouille la frontière entre réalité et fiction pour explorer l’écart de plus en plus important entre sa personnalité publique et la personne qu’elle était dans l’intimité.;3.3;2.9;18;;;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=181923.html
Buffet Froid;Bertrand Blier;19 décembre 1979;Tout commence quand Alphonse Tram, chômeur, rencontre un inconnu dans les couloirs déserts du R.E.R. Il le retrouve quelques temps plus tard assassiné avec son propre couteau. Dans la tour immense qu'il habite, il fait alors successivement connaissance d'un commissaire de police et de l'assassin de sa femme et se retrouve entrainé dans une série de meurtres plus surréalistes les uns que les autres.;3.9;--;54;;X;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=2651.html
Ennio;Giuseppe Tornatore;6 juillet 2022;A l’âge de 8 ans, Ennio Morricone rêve de devenir médecin. Mais son père décide qu’il sera trompettiste, comme lui. Du conservatoire de musique à l’Oscar du meilleur compositeur, l’itinéraire d’un des plus grands musiciens du 20ème siècle.;3.9;4.4;71;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=282286.html
Demain;Cyril Dion;2 décembre 2015;Et si montrer des solutions, raconter une histoire qui fait du bien, était la meilleure façon de résoudre les crises écologiques, économiques et sociales, que traversent nos pays ? Suite à la publication d’une étude qui annonce la possible disparition d’une partie de l’humanité d’ici 2100, Cyril Dion et Mélanie Laurent sont partis avec une équipe de quatre personnes enquêter dans dix pays pour comprendre ce qui pourrait provoquer cette catastrophe et surtout comment l'éviter. Durant leur voyage, ils ont rencontré les pionniers qui réinventent l’agriculture, l’énergie, l’économie, la démocratie et l’éducation. En mettant bout à bout ces initiatives positives et concrètes qui fonctionnent déjà, ils commencent à voir émerger ce que pourrait être le monde de demain…;3.8;4.5;65;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=229903.html
The Way, La route ensemble;Emilio Estevez;25 septembre 2013;Tom Avery, médecin américain à l’existence confortable, se rend d’urgence en France où son fils Daniel vient de disparaître lors d’un accident en montagne. Il découvre sur place que ce fils qu’il n’a jamais compris avait entrepris le pèlerinage de Compostelle. Tom décide alors de prendre le « camino ». Sur sa route, il croise Jack l’irlandais, Sarah la canadienne ou encore le hollandais Joost, pèlerins aux caractères bien trempés. D’abord fuyant, Tom s’ouvre pas à pas, à mesure qu’il apprend enfin à « marcher ensemble ».;2.8;3.9;66;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=134076.html
Nightmare Alley;Guillermo del Toro;19 janvier 2022;Alors qu’il traverse une mauvaise passe, le charismatique Stanton Carlisle débarque dans une foire itinérante et parvient à s’attirer les bonnes grâces d’une voyante, Zeena et de son mari Pete, une ancienne gloire du mentalisme. S’initiant auprès d’eux, il voit là un moyen de décrocher son ticket pour le succès et décide d’utiliser ses nouveaux talents pour arnaquer l’élite de la bonne société new-yorkaise des années 40. Avec la vertueuse et fidèle Molly à ses côtés, Stanton se met à échafauder un plan pour escroquer un homme aussi puissant que dangereux. Il va recevoir l’aide d’une mystérieuse psychiatre qui pourrait bien se révéler la plus redoutable de ses adversaires…;3.8;3.8;45;X;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=261339.html
